Area Type,Area Name,Period,Standard Occupational Code,Occupational Title,Total Job Openings,Median Hourly Wage,Median Annual Wage,Entry Level Education,Work Experience,Job Training
County,Merced County,2014-2024,499041,Industrial Machinery Mechanics,260,24.81,51609.00,High school diploma or equivalent,None,Long-term on-the-job training
County,Merced County,2014-2024,411011,First-Line Supervisors of Retail Sales Workers,260,17.81,37038.00,High school diploma or equivalent,<5 years,None
County,Merced County,2014-2024,352011,"Cooks, Fast Food",260,9.46,19691.00,No formal educational credential,None,Short-term on-the-job training
County,Merced County,2014-2024,311014,Nursing Assistants,260,12.17,25300.00,Postsecondary non-degree award,None,None
County,Merced County,2014-2024,499071,"Maintenance and Repair Workers, General",250,20.47,42578.00,High school diploma or equivalent,None,Long-term on-the-job training
County,Merced County,2014-2024,436014,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",250,17.20,35787.00,High school diploma or equivalent,None,Short-term on-the-job training
County,Merced County,2014-2024,431011,First-Line Supervisors of Office and Administrative Support Workers,230,23.25,48363.00,High school diploma or equivalent,<5 years,None
County,Merced County,2014-2024,359021,Dishwashers,220,9.73,20221.00,No formal educational credential,None,Short-term on-the-job training
County,Merced County,2014-2024,352021,Food Preparation Workers,220,9.67,20109.00,No formal educational credential,None,Short-term on-the-job training
County,Merced County,2014-2024,352014,"Cooks, Restaurant",220,10.66,22159.00,No formal educational credential,<5 years,Moderate-term on-the-job training
County,Merced County,2014-2024,533033,Light Truck or Delivery Services Drivers,210,20.11,41819.00,High school diploma or equivalent,None,Short-term on-the-job training
County,Merced County,2014-2024,472061,Construction Laborers,210,14.61,30380.00,No formal educational credential,None,Short-term on-the-job training
County,Merced County,2014-2024,319092,Medical Assistants,210,11.95,24851.00,Postsecondary non-degree award,None,None
County,Merced County,2014-2024,493023,Automotive Service Technicians and Mechanics,190,16.76,34861.00,Postsecondary non-degree award,None,Short-term on-the-job training
County,Merced County,2014-2024,434171,Receptionists and Information Clerks,180,12.03,25041.00,High school diploma or equivalent,None,Short-term on-the-job training
County,Merced County,2014-2024,252022,"Middle School Teachers, Except Special and Career/Technical Education",180,,69838.00,Bachelor's degree,None,Internship/Residency
County,Merced County,2014-2024,412021,Counter and Rental Clerks,170,11.43,23775.00,No formal educational credential,None,Short-term on-the-job training
County,Merced County,2014-2024,253098,Substitute Teachers,170,19.62,40813.00,Bachelor's degree,None,Internship/Residency
County,Merced County,2014-2024,472152,"Plumbers, Pipefitters, and Steamfitters",160,21.86,45473.00,High school diploma or equivalent,None,Apprenticeship
County,Merced County,2014-2024,373011,Landscaping and Groundskeeping Workers,160,12.73,26462.00,No formal educational credential,None,Short-term on-the-job training
County,Merced County,2014-2024,537061,Cleaners of Vehicles and Equipment,150,11.99,24928.00,No formal educational credential,None,Short-term on-the-job training
County,Merced County,2014-2024,472031,Carpenters,150,25.36,52751.00,High school diploma or equivalent,None,Apprenticeship
County,Merced County,2014-2024,372012,Maids and Housekeeping Cleaners,150,10.58,22006.00,No formal educational credential,None,Short-term on-the-job training
County,Merced County,2014-2024,333051,Police and Sheriff's Patrol Officers,140,34.94,72677.00,High school diploma or equivalent,None,Moderate-term on-the-job training
County,Merced County,2014-2024,252011,"Preschool Teachers, Except Special Education",140,15.98,33235.00,Associate's degree,None,None
County,Merced County,2014-2024,211093,Social and Human Service Assistants,140,17.58,36572.00,High school diploma or equivalent,None,Short-term on-the-job training
County,Merced County,2014-2024,452041,"Graders and Sorters, Agricultural Products",130,9.65,20053.00,No formal educational credential,None,Short-term on-the-job training
County,Merced County,2014-2024,433071,Tellers,130,13.33,27723.00,High school diploma or equivalent,None,Short-term on-the-job training
County,Merced County,2014-2024,399011,Childcare Workers,130,10.78,22424.00,High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Merced MSA,2014-2024,452092,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",1820,9.50,19759.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Merced MSA,2014-2024,412011,Cashiers,1380,9.60,19975.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Merced MSA,2014-2024,353021,"Combined Food Preparation and Serving Workers, Including Fast Food",1220,9.53,19844.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Merced MSA,2014-2024,399021,Personal Care Aides,970,11.28,23454.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Merced MSA,2014-2024,119013,"Farmers, Ranchers, and Other Agricultural Managers",970,36.62,76147.00,High school diploma or equivalent,≥5 years,None
Metropolitan Area,Merced MSA,2014-2024,412031,Retail Salespersons,880,10.37,21572.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Merced MSA,2014-2024,533032,Heavy and Tractor-Trailer Truck Drivers,620,17.99,37418.00,Postsecondary non-degree award,None,Short-term on-the-job training
Metropolitan Area,Merced MSA,2014-2024,291141,Registered Nurses,470,46.93,97604.00,Bachelor's degree,None,None
Metropolitan Area,Merced MSA,2014-2024,353031,Waiters and Waitresses,430,9.59,19946.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Merced MSA,2014-2024,439061,"Office Clerks, General",420,16.13,33545.00,High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Merced MSA,2014-2024,435081,Stock Clerks and Order Fillers,420,11.65,24223.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Merced MSA,2014-2024,537062,"Laborers and Freight, Stock, and Material Movers, Hand",400,11.19,23278.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Merced MSA,2014-2024,111021,General and Operations Managers,390,38.90,80906.00,Bachelor's degree,≥5 years,None
Metropolitan Area,Merced MSA,2014-2024,537064,"Packers and Packagers, Hand",360,9.96,20711.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Merced MSA,2014-2024,259041,Teacher Assistants,360,,32900.00,"Some college, no degree",None,None
Metropolitan Area,Merced MSA,2014-2024,252021,"Elementary School Teachers, Except Special Education",360,,75164.00,Bachelor's degree,None,Internship/Residency
Metropolitan Area,Merced MSA,2014-2024,519111,Packaging and Filling Machine Operators and Tenders,330,16.20,33685.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,Merced MSA,2014-2024,434051,Customer Service Representatives,330,17.81,37025.00,High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Merced MSA,2014-2024,372011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",330,13.81,28726.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Merced MSA,2014-2024,351012,First-Line Supervisors of Food Preparation and Serving Workers,280,14.03,29185.00,High school diploma or equivalent,<5 years,None
Metropolitan Area,Merced MSA,2014-2024,537051,Industrial Truck and Tractor Operators,270,19.91,41401.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Merced MSA,2014-2024,499041,Industrial Machinery Mechanics,260,24.81,51609.00,High school diploma or equivalent,None,Long-term on-the-job training
Metropolitan Area,Merced MSA,2014-2024,411011,First-Line Supervisors of Retail Sales Workers,260,17.81,37038.00,High school diploma or equivalent,<5 years,None
Metropolitan Area,Merced MSA,2014-2024,352011,"Cooks, Fast Food",260,9.46,19691.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Merced MSA,2014-2024,311014,Nursing Assistants,260,12.17,25300.00,Postsecondary non-degree award,None,None
Metropolitan Area,Merced MSA,2014-2024,499071,"Maintenance and Repair Workers, General",250,20.47,42578.00,High school diploma or equivalent,None,Long-term on-the-job training
Metropolitan Area,Merced MSA,2014-2024,436014,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",250,17.20,35787.00,High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Merced MSA,2014-2024,431011,First-Line Supervisors of Office and Administrative Support Workers,230,23.25,48363.00,High school diploma or equivalent,<5 years,None
Metropolitan Area,Merced MSA,2014-2024,359021,Dishwashers,220,9.73,20221.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Merced MSA,2014-2024,352021,Food Preparation Workers,220,9.67,20109.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Merced MSA,2014-2024,352014,"Cooks, Restaurant",220,10.66,22159.00,No formal educational credential,<5 years,Moderate-term on-the-job training
Metropolitan Area,Merced MSA,2014-2024,533033,Light Truck or Delivery Services Drivers,210,20.11,41819.00,High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Merced MSA,2014-2024,472061,Construction Laborers,210,14.61,30380.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Merced MSA,2014-2024,319092,Medical Assistants,210,11.95,24851.00,Postsecondary non-degree award,None,None
Metropolitan Area,Merced MSA,2014-2024,493023,Automotive Service Technicians and Mechanics,190,16.76,34861.00,Postsecondary non-degree award,None,Short-term on-the-job training
Metropolitan Area,Merced MSA,2014-2024,434171,Receptionists and Information Clerks,180,12.03,25041.00,High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Merced MSA,2014-2024,252022,"Middle School Teachers, Except Special and Career/Technical Education",180,,69838.00,Bachelor's degree,None,Internship/Residency
Metropolitan Area,Merced MSA,2014-2024,412021,Counter and Rental Clerks,170,11.43,23775.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Merced MSA,2014-2024,253098,Substitute Teachers,170,19.62,40813.00,Bachelor's degree,None,Internship/Residency
Metropolitan Area,Merced MSA,2014-2024,472152,"Plumbers, Pipefitters, and Steamfitters",160,21.86,45473.00,High school diploma or equivalent,None,Apprenticeship
Metropolitan Area,Merced MSA,2014-2024,373011,Landscaping and Groundskeeping Workers,160,12.73,26462.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Merced MSA,2014-2024,537061,Cleaners of Vehicles and Equipment,150,11.99,24928.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Merced MSA,2014-2024,472031,Carpenters,150,25.36,52751.00,High school diploma or equivalent,None,Apprenticeship
Metropolitan Area,Merced MSA,2014-2024,372012,Maids and Housekeeping Cleaners,150,10.58,22006.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Merced MSA,2014-2024,333051,Police and Sheriff's Patrol Officers,140,34.94,72677.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,Merced MSA,2014-2024,252011,"Preschool Teachers, Except Special Education",140,15.98,33235.00,Associate's degree,None,None
Metropolitan Area,Merced MSA,2014-2024,211093,Social and Human Service Assistants,140,17.58,36572.00,High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Merced MSA,2014-2024,452041,"Graders and Sorters, Agricultural Products",130,9.65,20053.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Merced MSA,2014-2024,433071,Tellers,130,13.33,27723.00,High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Merced MSA,2014-2024,399011,Childcare Workers,130,10.78,22424.00,High school diploma or equivalent,None,Short-term on-the-job training
